image_name,width,height,capacity_pct,bit_count,MSE,PSNR,AD,SC,NCC,NAE
baboon.png,512,512,25,196608,0.12479146321614583,57.16895483894338,0.12479146321614583,0.9999942171676048,0.999996741490491,0.0009868390621750843
baboon.png,512,512,50,393216,0.24950663248697916,54.15998266162163,0.24950663248697916,0.9999893453339601,0.9999934849948445,0.0019730747990625128
baboon.png,512,512,75,589824,0.37406667073567706,52.4013134649598,0.37406667073567706,0.9999855354743952,0.9999902325625403,0.002958083774531709
baboon.png,512,512,100,786432,0.4990196228027344,51.149627372738,0.4990196228027344,0.9999828578857558,0.9999869698742943,0.00394619987523233
barbara.bmp,512,512,25,196608,0.12481435139973958,57.16815836616259,0.12481435139973958,0.9980654286901234,0.9999962806054394,0.001109675527701258
barbara.bmp,512,512,50,393216,0.2496007283528646,54.158345125531625,0.2496007283528646,0.9958478027716522,0.9999937980805523,0.002219102345550956
barbara.bmp,512,512,75,589824,0.3745015462239583,52.3962674573457,0.3745015462239583,0.9941919171533041,0.9999916994335655,0.0033295466127933994
barbara.bmp,512,512,100,786432,0.4992663065592448,51.1474810258196,0.4992663065592448,0.9924796949247706,0.9999904170729401,0.004438781245757801
boat.png,512,512,25,196608,0.12469736735026042,57.17223076253233,0.12469736735026042,1.0000573757057674,0.9999967193108028,0.0009613701558905636
boat.png,512,512,50,393216,0.24985249837239584,54.15396664388002,0.24985249837239584,1.000121777087318,0.9999934273955509,0.0019262694988196585
boat.png,512,512,75,589824,0.37468592325846356,52.394129836695235,0.37468592325846356,1.0001653503056935,0.999990143957877,0.002888688607524452
boat.png,512,512,100,786432,0.49923451741536456,51.14775755738463,0.49923451741536456,1.0002170630085836,0.999986868726522,0.003848911777627493
cameraman.tif,512,512,25,196608,0.1250127156575521,57.16126171387479,0.1250127156575521,1.0000035768746747,0.9999964966120654,0.0010566180882862588
cameraman.tif,512,512,50,393216,0.25040435791015625,54.14438478023351,0.25040435791015625,0.9999948253079718,0.9999929826358467,0.0021164388963307345
cameraman.tif,512,512,75,589824,0.37556203206380206,52.383986806248856,0.37556203206380206,0.9999881942430628,0.999989475248276,0.003174282186135237
cameraman.tif,512,512,100,786432,0.5006294250488281,51.135639887064244,0.5006294250488281,0.9999779079423661,0.999985970469152,0.004231362411836272
fruits.png,512,512,25,196608,0.12473297119140625,57.17099093325256,0.12473297119140625,1.0000717265144723,0.9999977770050655,0.0008011214622443886
fruits.png,512,512,50,393216,0.24940363566080728,54.161775807874626,0.24940363566080728,1.0002597457485802,0.999995561848163,0.0016018427476007925
fruits.png,512,512,75,589824,0.3746388753255208,52.39467519853905,0.3746388753255208,1.0002365051152633,0.9999933276827796,0.0024061901255748542
fruits.png,512,512,100,786432,0.49923070271809894,51.1477907423557,0.49923070271809894,1.0002352105006174,0.9999911063074765,0.0032064050646648285
house.tif,512,512,25,196608,0.12534077962239584,57.14987969174363,0.12534077962239584,1.0017837696699121,0.9999975436701094,0.0009179540438524113
house.tif,512,512,50,393216,0.2500508626302083,54.150520037442995,0.2500508626302083,1.0021957792294918,0.9999949078455797,0.0018312890761624902
house.tif,512,512,75,589824,0.3749071756998698,52.39156607997617,0.3749071756998698,1.0024092380627918,0.9999921864792143,0.0027456950486487147
house.tif,512,512,100,786432,0.49953333536783856,51.14515885556691,0.49953333536783856,1.002485421012889,0.999989394519266,0.0036584154544229185
jetplane.tif,512,512,25,196608,0.124725341796875,57.17125658116035,0.124725341796875,1.0000068343569366,0.9999981565174642,0.0007006403672096108
jetplane.tif,512,512,50,393216,0.24992497762044272,54.15270698976546,0.24992497762044272,1.0000153761564334,0.9999963060267801,0.0014039450649894155
jetplane.tif,512,512,75,589824,0.3751335144042969,52.3889449514253,0.3751335144042969,1.00000652037742,0.9999944553890071,0.0021072997636110203
jetplane.tif,512,512,100,786432,0.5003407796223959,51.13814459936868,0.5003407796223959,1.000005064075866,0.9999926047811863,0.002810647319255225
lake.tif,512,512,25,196608,0.12515131632486978,57.15644939048151,0.12515131632486978,0.9999990356700021,0.9999968343574926,0.0010062777261090397
lake.tif,512,512,50,393216,0.2497736612955729,54.15533720893372,0.2497736612955729,0.9999999031230581,0.9999936820920907,0.0020083022641008575
